MOVER,IS,1,1
MOVEM,IS,2,1
ADD,IS,3,1
SUB,IS,4,1
MULT,IS,5,1
DIV,IS,6,1
BC,IS,7,1
COMP,IS,8,1
PRINT,IS,9,1
READ,IS,10,1
STOP,1S,0,1
DC,DL,1,1
DS,DL,2,1
START,AD,1,1
END,AD,2,1
ORIGIN,AD,3,1
LTORG,AD,4,1
EQU,AD,5,1
